"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
72;47;55;64,52;0;0;0;"Leparisien.fr";"Cinema";"http://www.leparisien.fr/flash-actualite-culture/jean-dujardin-je-vous-le-presente-il-s-appelle-oscar-il-pese-2-kilos-27-02-2012-1880117.php";68,97;0;86,21;0
73;101;182;75;75;56,25;18,75;"Google.com";"Web/it";"http://feedproxy.google.com/~r/Pressecitron/~3/vCay3eqyOlw/google-nous-preparerait-des-lunettes-android?utm_source=dlvr.it&utm_medium=twitter";50;25;37,5;18,75
74;56;134;64,71;41,18;38,24;2,94;"Rtl.fr";"Politic";"http://www.rtl.fr/actualites/politique/article/selon-nkm-un-ticket-de-metro-coute-4-7744236344";55,56;11,11;66,67;11,11
75;43;80;44;0;0;0;"Feedsportal.com";"Politic";"http://rss.feedsportal.com/c/32898/f/533233/s/1cf37364/l/0L0Srtl0Bfr0Cactualites0Cpolitique0Carticle0Cjean0Emarie0Ele0Epen0Eveut0Eretirer0Eson0Ecalecon0Ea0Emelenchon0E7744299576/story01.htm";84,44;2,22;84,44;2,22
76;54;132;59,38;12,5;3,13;9,37;"Rtl.fr";"Politic";"http://www.rtl.fr/actualites/politique/article/henri-guaino-perd-son-sang-froid-dans-un-debat-tele-7744252616";65,22;8,7;17,39;0
77;19;20;53,33;0;0;0;"Feedsportal.com";"Cinema";"http://rss.feedsportal.com/c/32898/f/533233/s/1cf57061/l/0L0Srtl0Bfr0Cactualites0Cculture0Eloisirs0Ccinema0Carticle0Cthe0Eartist0Ejean0Edujardin0Esacre0Emeilleur0Eacteur0Eaux0Eoscars0E7744310A20A6/story01.htm";83,33;0;66,67;0
78;31;37;42,11;63,16;36,84;26,32;"Ozap.com";"Web/it";"http://www.ozap.com/actu/zapping-la-joie-de-jean-dujardin-aux-oscars-2012/439572?utm_source=dlvr.it&utm_medium=twitter";44;24;0;12
79;41;77;84;72;60;12;"Ozap.com";"Misc";"http://www.ozap.com/actu/zapping-nous-sommes-dans-une-annee-bisexuelle-euh-bissextile/439570";84;4;72;4
80;35;46;56;88;48;40;"Ozap.com";"Cinema";"http://www.ozap.com/actu/oscars-2012-le-palmares-complet-the-artist-remporte-5-trophees-dont-celui-du-meilleur-film/439571";72;0;88;0
81;23;31;66,67;80;53,33;26,67;"Ozap.com";"Politic";"http://www.ozap.com/actu/une-fausse-depeche-afp-annonce-la-mort-de-nicolas-sarkozy/439582";84;4;20;0
82;46;130;72,22;72,22;61,11;11,11;"Liberation.fr";"Politic";"http://www.liberation.fr/politiques/0101606287-son-salaire-revele-guaino-denonce-une-transparence-totalitaire";86,67;0;13,33;0
83;109;237;81,4;37,21;32,56;4,65;"Gizmodo.fr";"Misc";"http://www.gizmodo.fr/2012/02/25/la-vodka-nous-fait-parler-plus-mieux.html";51,22;7,32;95,12;0
