"numéro";"taille de G0 (noeuds)";"taille de G0 (liens)";"G0 & GRT (recouvrement GRT (liens))";"Gf & GRT (recouvrement GRT (liens))";"G0 & Gf & GRT (recouvrement GRT (liens))";"Gf & GRT & ~G0 (recouvrement GRT (liens))";Domaine de l'URL;Sujet;URL;"RT expliqués par G0";"RT expliqués par un voisinage dans G0";"RT expliqués par Gf";"RT expliqués par un voisinage dans Gf"
079;41;77;84,0;72,0;60,0;12,0;Ozap.com;Misc;http://www.ozap.com/actu/zapping-nous-sommes-dans-une-annee-bisexuelle-euh-bissextile/439570;84,0;4,0;12,0;0,0
080;35;46;56,0;88,0;48,0;40,0;Ozap.com;Cinema;http://www.ozap.com/actu/oscars-2012-le-palmares-complet-the-artist-remporte-5-trophees-dont-celui-du-meilleur-film/439571;56,0;0,0;40,0;0,0
081;23;31;66,67;80,0;53,33;26,67;Ozap.com;Politic;http://www.ozap.com/actu/une-fausse-depeche-afp-annonce-la-mort-de-nicolas-sarkozy/439582;66,67;6,67;26,67;0,0
082;46;130;72,22;72,22;61,11;11,11;Liberation.fr;Politic;http://www.liberation.fr/politiques/0101606287-son-salaire-revele-guaino-denonce-une-transparence-totalitaire;72,22;16,67;5,56;0,0
083;109;237;81,4;37,21;32,56;4,65;Gizmodo.fr;Misc;http://www.gizmodo.fr/2012/02/25/la-vodka-nous-fait-parler-plus-mieux.html;81,4;9,3;4,65;0,0
084;57;81;83,33;66,67;61,11;5,56;Gizmodo.fr;Misc;http://www.gizmodo.fr/2012/02/25/le-meilleur-antivol-du-monde-date-des-annees-1960.html;83,33;0,0;5,56;0,0
085;130;1318;59,79;46,39;37,11;9,28;U-m-p.org;Politic;http://www.u-m-p.org/actualites/espace-presse/najat-vallaud-belkacem-porte-parole-de-loutrance-53732602;59,79;27,84;5,15;2,06
086;59;76;72,0;88,0;64,0;24,0;Lesinrocks.com;Cinema;http://www.lesinrocks.com/2012/02/26/cinema/le-cinema-francais-va-t-il-si-bien-112154/;72,0;0,0;24,0;0,0
087;57;64;81,82;0,0;0,0;0,0;Jeuxvideo.fr;Web/it;http://www.jeuxvideo.fr/jeu-concours/700-cles-pour-le-jeu-diablo-3-sur-pc-a-gagner-4872.html#.T0vbpwJn7dw.twitter;81,82;0,0;0,0;0,0
088;185;886;60,0;9,0;7,0;2,0;Rue89.com;Politic;http://www.rue89.com/2012/02/27/je-suis-musulmane-madame-et-je-suis-chez-moi-229735;60,0;20,0;2,0;0,0
089;578;3374;64,46;15,29;13,22;2,07;Rue89.com;Politic;http://www.rue89.com/2012/02/25/dans-ce-lycee-noirs-et-blancs-ne-dejeunent-pas-ensemble-229358;64,46;19,42;2,07;2,07
090;49;124;42,86;14,29;9,52;4,77;Pulse.me;Unknow;http://www.pulse.me/s/6lH7k;42,86;9,52;4,76;0,0
091;344;902;65,77;18,79;16,78;2,01;Rue89.com;Web/it;http://www.rue89.com/2012/02/25/pourquoi-et-surtout-comment-ils-ont-quitte-facebook-229643;65,77;3,36;2,01;2,01
092;101;152;17,54;0,0;0,0;0,0;Rue89.com;Misc;http://blogs.rue89.com/droles-de-gammes/2012/02/26/le-trompettiste-maurice-andre-est-mort-le-monde-des-cuivres-en-deuil-0;17,54;54,39;0,0;1,75
093;202;690;61,86;14,43;8,25;6,18;Rue89.com;Politic;http://blogs.rue89.com/dessous-assiette/2012/02/26/viande-halal-le-boucher-des-stars-defend-legorgement-226721;61,86;15,46;2,06;1,03
094;75;136;78,13;6,25;6,25;0,0;Rue89.com;Politic;http://blogs.rue89.com/ibere-espace/2012/02/26/rigueur-en-espagne-attention-cherie-ca-va-couper-de-partout-226712;78,13;0,0;0,0;0,0
095;87;465;77,78;44,44;38,89;5,55;Locita.com;Web/it;http://fr.locita.com/technologie-2/lemergence-du-roa-dans-le-social-media/;77,78;0,0;5,56;5,56
096;257;1803;58,62;45,69;34,48;11,21;Acrimed.org;Misc;http://www.acrimed.org/article3779.html;58,62;19,83;10,34;1,72
097;28;15;18,75;0,0;0,0;0,0;Rds.ca;Misc;http://www.rds.ca/canadien/chroniques/335936.html;18,75;0,0;0,0;0,0
098;42;96;57,14;0,0;0,0;0,0;Leparisien.fr;International;http://www.leparisien.fr/international/jacques-beres-a-homs-c-est-pire-qu-a-bagdad-pendant-la-guerre-26-02-2012-1878574.php;57,14;28,57;0,0;0,0
099;134;344;82,0;12,0;10,0;2,0;Owni.fr;Web/it;http://owni.fr/2012/02/25/operation-com-anonymous/;82,0;2,0;2,0;0,0
100;106;483;77,55;14,29;10,2;4,09;Owni.fr;Web/it;http://owni.fr/2012/02/25/dis-mon-depute-cest-quoi-lopen-data/;77,55;14,29;0,0;2,04
101;44;59;66,67;25,0;25,0;0,0;Lesechos.fr;Web/it;http://www.lesechos.fr/entreprises-secteurs/service-distribution/interview/0201918357783-robert-badinter-se-lance-dans-la-consultation-juridique-par-internet-294473.php;66,67;8,33;0,0;0,0
102;34;94;92,86;0,0;0,0;0,0;Lesechos.fr;Misc;http://www.lesechos.fr/entreprises-secteurs/finance-marches/actu/0201919083656-la-bred-a-ete-sanctionnee-par-le-regulateur-en-janvier-294685.php;92,86;0,0;0,0;0,0
103;158;347;60,38;6,6;5,66;0,94;Igeneration.fr;Web/it;http://www.igeneration.fr/0-apple/30-sur-la-gamme-apple-chez-les-3-suisses-79832;60,38;16,98;0,94;0,94
104;41;51;77,78;86,11;69,44;16,67;Jeanmarcmorandini.com;Cinema;http://www.jeanmarcmorandini.com/article-267495-oscar-2012-c-est-du-jamais-vu-pour-les-francais.html;77,78;0,0;16,67;0,0
105;35;49;87,5;84,38;75,0;9,38;Jeanmarcmorandini.com;Web/it;http://www.jeanmarcmorandini.com/article-267494-portrait-jean-dujardin-avec-son-oscar-il-devient-l-acteur-le-plus-populaire-de-sa-gen?utm_medium=Twitter&utm_source=jeanmarcmorandini.com;87,5;0,0;9,38;0,0
106;26;32;60,0;75,0;60,0;15,0;Jeanmarcmorandini.com;Web/it;http://www.jeanmarcmorandini.com/article-267180-morandini-zap-pour-nathalie-kosciusko-morizet-un-ticket-de-metro-coute-4-euros.html?utm_medium=Twitter&utm_source=jeanmarcmorandini.com;60,0;5,0;15,0;0,0
107;44;64;86,49;83,78;72,97;10,81;Jeanmarcmorandini.com;Web/it;http://www.jeanmarcmorandini.com/article-267612-cyril-lignac-etoile-au-guide-michelin.html?utm_medium=Twitter&utm_source=jeanmarcmorandini.com;86,49;0,0;10,81;0,0
108;147;455;69,63;62,22;53,33;8,89;Jeanmarcmorandini.com;Television;http://www.jeanmarcmorandini.com/article-266586-audiences-prime-succes-historique-pour-the-voice-sur-tf1-a-plus-de-9-millions.html;69,63;18,52;6,67;2,22
109;23;31;77,78;83,33;72,22;11,11;Jeanmarcmorandini.com;Cinema;http://www.jeanmarcmorandini.com/article-267230-morandini-zap-enorme-cohue-a-l-aeroport-de-los-angeles-pour-les-acteurs-de-the-artist;77,78;5,56;11,11;0,0
110;225;2224;48,0;42,0;28,67;13,33;Rtl.fr;Politic;http://www.rtl.fr/blog/aphatie/todd-schneiderman-l-accent-et-le-racisme-26-02-7744296948;48,0;35,33;10,0;3,33
111;39;158;80,0;40,0;35,0;5,0;Chartsinfrance.net;Music;http://www.chartsinfrance.net/Alizee/news-78362.html;80,0;10,0;5,0;0,0
112;42;69;86,67;13,33;13,33;0,0;Leparisien.fr;Web/it;http://www.leparisien.fr/high-tech/internet-coupe-le-31-mars-26-02-2012-1878495.php;86,67;0,0;0,0;0,0
113;67;64;100,0;0,0;0,0;0,0;Visibli.com;Politic;http://spartacusk99.visibli.com/share/nt1mV4;100,0;0,0;0,0;0,0
